CSP_ID	SCORED_TICKETS	WITHIN_TAT	BREACHED	KAPTURE_FIRST_ANY	SYNC_LOSS	UNFAIR_BREACH
a0b5v7	58	53	5	1	0	0
a0b9f1	58	42	16	1	0	0
a0b5n0	58	57	1	1	0	0
a0b9a7	57	32	13	12	0	0
a0b7c3	56	56	0	2	1	0
a0a7c0	56	40	16	4	0	0
a0b8o6	56	23	33	6	0	0
a0b9z4	55	46	9	2	0	0
a0b6f3	55	54	1	3	0	0
a0b5x2	55	51	4	0	0	0
a0b5y5	54	1	0	53	3	0
a0b8u5	54	0	0	54	1	0
a0b8y0	53	52	1	3	0	0
a0b7h8	53	42	11	0	0	0
a0b6h9	53	41	12	2	0	0
a0b6c1	53	51	0	3	0	0
a0b6u8	53	46	7	2	0	0
a0b7c1	53	46	7	3	0	0
a0b9y9	52	48	4	1	0	0
a0b9q4	52	42	10	0	0	0
a0b7h5	52	46	6	3	0	0
a0b5w5	51	49	2	2	0	0
a0b6n7	51	51	0	1	0	0
a0a7b3	51	38	2	11	0	0
a0b8t5	51	43	8	0	0	0
a0b6n9	51	43	8	2	0	0
a0b9o8	50	35	14	6	0	0
a0b8v3	50	45	5	4	0	0
a0b9u7	50	50	0	2	0	0
a0b9r3	50	47	3	2	0	0
a0c0e3	49	49	0	4	0	0
a0b9p2	48	22	26	1	0	0
a0b9t8	48	44	4	0	0	0
a0b6e9	48	47	1	0	0	0
a0b6j6	48	40	8	3	0	0
a0b6m1	47	45	2	2	0	0
a0b6p1	47	40	7	3	0	0
a0a7g0	47	42	5	5	0	0
a0b9y8	47	37	10	1	0	0
a0a8a5	46	41	5	2	0	0
a0c0f1	46	46	0	3	0	0
a0b7i0	46	44	2	1	0	0
a0a7b4	45	39	6	0	0	0
a0b5u1	45	32	13	1	0	0
a0b6a7	45	13	4	28	4	0
a0b6w7	45	37	8	1	0	0
a0b8s7	45	45	0	0	0	0
a0b9b0	44	42	2	2	0	0
a0b9s4	44	40	4	3	0	0
a0b5x5	44	23	20	4	0	0
a0a6z0	43	37	6	1	0	0
a0b9w7	43	37	6	4	0	0
a0b9k6	43	26	17	6	0	0
a0b5x6	43	35	8	1	0	0
a0b9p5	42	39	3	0	0	0
a0a7a9	42	36	6	1	0	0
a0a6z1	42	35	7	2	0	0
a0b7j2	42	38	4	0	0	0
